psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.84976,-197484,-0.1828,197484,0.1828,125.3018,0.00011599
3,1.7785,-218359,-0.20212,218359,0.20212,125.102,0.0001158
4,2.7277,-236667,-0.21907,236667,0.21907,125.9055,0.00011654
5,3.8955,-262296,-0.24279,262296,0.24279,128.0852,0.00011856
6,5.1386,-291503,-0.26983,291503,0.26983,130.2581,0.00012057
7,6.747,-336562,-0.31154,336562,0.31154,132.1844,0.00012236
8,8.3622,-326393,-0.30213,326393,0.30213,133.6001,0.00012367
9,8.9229,-316919,-0.29336,316919,0.29336,134.3493,0.00012436
10,9.4931,-318652,-0.29496,318652,0.29496,133.0769,0.00012318
11,10.238,-356921,-0.33038,356921,0.33038,132.2924,0.00012246
12,10.8556,-381642,-0.35327,381642,0.35327,132.3244,0.00012249
13,12.6066,-378297,-0.35017,378297,0.35017,132.3665,0.00012253
14,13.4548,-349986,-0.32397,349986,0.32397,131.4558,0.00012168
15,15.7965,-445496,-0.41237,445496,0.41237,132.0258,0.00012221
16,21.4015,-414215,-0.38342,414215,0.38342,131.0856,0.00012134
17,18.9089,-374115,-0.3463,374115,0.3463,131.4943,0.00012172
18,16.7727,-482151,-0.4463,482151,0.4463,130.8433,0.00012112
19,19.8964,-390106,-0.3611,390106,0.3611,131.2922,0.00012153
20,18.8949,-422216,-0.39082,422216,0.39082,130.9553,0.00012122
21,20.3604,-403264,-0.37328,403264,0.37328,130.0021,0.00012034
22,20.4992,-424231,-0.39269,424231,0.39269,130.6566,0.00012094
23,22.8429,-402218,-0.37231,402218,0.37231,130.7486,0.00012103
24,23.5262,-410074,-0.37959,410074,0.37959,130.9639,0.00012123
25,23.973,-506971,-0.46928,506971,0.46928,130.4296,0.00012073
26,25.4088,-422250,-0.39086,422250,0.39086,130.7669,0.00012104
27,26.6367,-408066,-0.37773,408066,0.37773,130.8458,0.00012112
28,28.6064,-389893,-0.36091,389893,0.36091,131.0208,0.00012128
29,30.1056,-419194,-0.38803,419194,0.38803,130.3335,0.00012064
30,30.7845,-489256,-0.45288,489256,0.45288,130.3597,0.00012067
