psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.42143,-471547,-0.5996,471547,0.5996,113.2827,0.00014405
3,1.1223,-468870,-0.5962,468870,0.5962,113.4513,0.00014426
4,1.8929,-470988,-0.59889,470988,0.59889,113.5114,0.00014434
5,2.6048,-466504,-0.59319,466504,0.59319,113.4952,0.00014432
6,3.2606,-460746,-0.58587,460746,0.58587,113.4257,0.00014423
7,3.5585,-459677,-0.58451,459677,0.58451,113.3291,0.00014411
8,4.2783,-456274,-0.58018,456274,0.58018,113.175,0.00014391
9,5.1908,-441571,-0.56149,441571,0.56149,113.0437,0.00014374
10,6.6385,-395299,-0.50265,395299,0.50265,113.0547,0.00014376
11,8.0771,-381584,-0.48521,381584,0.48521,113.0634,0.00014377
12,11.0472,-462033,-0.58751,462033,0.58751,113.1394,0.00014386
13,11.7989,-478284,-0.60817,478284,0.60817,113.2752,0.00014404
14,13.5263,-478462,-0.6084,478462,0.6084,113.152,0.00014388
15,16.152,-479413,-0.60961,479413,0.60961,113.2272,0.00014398
16,18.8856,-467983,-0.59507,467983,0.59507,113.4853,0.0001443
17,23.2515,-474893,-0.60386,474893,0.60386,113.5589,0.0001444
18,24.9226,-450766,-0.57318,450766,0.57318,113.7896,0.00014469
19,30.093,-451996,-0.57474,451996,0.57474,113.8887,0.00014482
20,43.7926,-475641,-0.60481,475641,0.60481,113.4841,0.0001443
21,49.877,-468676,-0.59595,468676,0.59595,113.4379,0.00014424
22,56.7134,-471811,-0.59994,471811,0.59994,113.4364,0.00014424
23,55.502,-464274,-0.59035,464274,0.59035,113.7986,0.0001447
24,55.7513,-458644,-0.5832,458644,0.5832,114.0925,0.00014508
25,70.249,-484260,-0.61577,484260,0.61577,113.6488,0.00014451
26,86.7351,-495160,-0.62963,495160,0.62963,113.2284,0.00014398
27,84.105,-511556,-0.65048,511556,0.65048,113.5046,0.00014433
28,76.6816,-511994,-0.65103,511994,0.65103,113.9322,0.00014487
29,68.4457,-495710,-0.63033,495710,0.63033,114.4299,0.00014551
30,54.7513,-449069,-0.57102,449069,0.57102,115.5545,0.00014694
