psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.47018,-35794,-0.17676,35794,0.17676,20.8149,0.00010279
3,1.0762,-38762,-0.19142,38762,0.19142,25.615,0.00012649
4,2.1147,-44598,-0.22024,44598,0.22024,29.6359,0.00014635
5,6.0837,-43653,-0.21557,43653,0.21557,24.4072,0.00012053
6,9.9085,-45244,-0.22343,45244,0.22343,22.0942,0.00010911
7,12.2203,-46318,-0.22873,46318,0.22873,23.0611,0.00011388
8,14.5332,-47662,-0.23537,47662,0.23537,24.5854,0.00012141
9,13.7761,-51402,-0.25384,51402,0.25384,27.6606,0.0001366
10,7.7679,-63680,-0.31447,63680,0.31447,36.8407,0.00018193
11,5.7803,-53579,-0.26459,53579,0.26459,32.5904,0.00016094
12,4.2525,-48512,-0.23957,48512,0.23957,30.2478,0.00014937
13,3.8099,-46819,-0.2312,46819,0.2312,27.5204,0.0001359
14,3.8586,-44345,-0.21899,44345,0.21899,24.9868,0.00012339
15,3.7399,-43011,-0.2124,43011,0.2124,23.6732,0.0001169
16,2.8728,-47396,-0.23405,47396,0.23405,25.4268,0.00012556
17,1.7041,-41683,-0.20584,41683,0.20584,25.3964,0.00012541
18,1.541,-40393,-0.19947,40393,0.19947,24.7906,0.00012242
19,1.4987,-40017,-0.19761,40017,0.19761,24.5298,0.00012113
20,1.4892,-39827,-0.19668,39827,0.19668,24.3658,0.00012032
21,1.4783,-39824,-0.19666,39824,0.19666,24.3162,0.00012008
22,1.472,-39748,-0.19629,39748,0.19629,24.3022,0.00012001
23,1.4639,-39793,-0.19651,39793,0.19651,24.2914,0.00011996
24,1.4596,-39671,-0.19591,39671,0.19591,24.2273,0.00011964
25,1.4459,-39545,-0.19528,39545,0.19528,24.1687,0.00011935
26,1.4347,-39532,-0.19522,39532,0.19522,24.138,0.0001192
27,1.4269,-39410,-0.19462,39410,0.19462,24.1212,0.00011912
28,1.4196,-39445,-0.19479,39445,0.19479,24.0978,0.000119
29,1.4188,-39526,-0.19519,39526,0.19519,24.0947,0.00011899
30,1.4203,-39577,-0.19544,39577,0.19544,24.0965,0.00011899
