psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,1.1161,-37101,-0.15421,37101,0.15421,66.459,0.00027624
3,6.3668,-38418,-0.15968,38418,0.15968,66.3057,0.0002756
4,17.5982,-38597,-0.16043,38597,0.16043,66.3688,0.00027586
5,31.6262,-41238,-0.17141,41238,0.17141,66.5494,0.00027661
6,35.8104,-45344,-0.18847,45344,0.18847,68.4047,0.00028432
7,45.5882,-40907,-0.17003,40907,0.17003,69.5479,0.00028907
8,76.1892,-38736,-0.16101,38736,0.16101,67.6416,0.00028115
9,93.5803,-38704,-0.16087,38704,0.16087,67.0569,0.00027872
10,70.0251,-36243,-0.15064,36243,0.15064,69.8104,0.00029017
11,41.632,-62363,-0.25921,62363,0.25921,71.3449,0.00029654
12,35.1501,-62499,-0.25978,62499,0.25978,69.48,0.00028879
13,35.9588,-60429,-0.25117,60429,0.25117,69.0308,0.00028693
14,38.502,-57066,-0.23719,57066,0.23719,69.0755,0.00028711
15,38.4138,-53397,-0.22194,53397,0.22194,73.0288,0.00030354
16,99.6404,-40931,-0.17013,40931,0.17013,67.381,0.00028007
17,98.0834,-41525,-0.1726,41525,0.1726,67.0843,0.00027883
18,30.2991,-53039,-0.22046,53039,0.22046,68.6634,0.0002854
19,3.5812,-84995,-0.35328,84995,0.35328,70.5337,0.00029317
20,3.6599,-76518,-0.31805,76518,0.31805,70.4752,0.00029293
21,3.6796,-72026,-0.29937,72026,0.29937,70.0799,0.00029129
22,3.7174,-69000,-0.2868,69000,0.2868,69.9629,0.0002908
23,3.4149,-69676,-0.28961,69676,0.28961,69.8102,0.00029016
24,3.401,-70215,-0.29185,70215,0.29185,69.9113,0.00029059
25,3.4223,-72649,-0.30196,72649,0.30196,70.0565,0.00029119
26,3.5941,-73019,-0.3035,73019,0.3035,70.3448,0.00029239
27,3.8659,-65103,-0.2706,65103,0.2706,71.1669,0.0002958
28,4.1099,-69875,-0.29043,69875,0.29043,71.173,0.00029583
29,4.2206,-77297,-0.32128,77297,0.32128,71.4109,0.00029682
30,4.1028,-77132,-0.3206,77132,0.3206,71.497,0.00029718
