psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,1.121,-455251,-0.57888,455251,0.57888,125.7347,0.00015988
3,2.9542,-408337,-0.51923,408337,0.51923,125.645,0.00015977
4,4.5471,-387737,-0.49303,387737,0.49303,125.5872,0.00015969
5,5.6873,-378352,-0.4811,378352,0.4811,125.7149,0.00015985
6,7.7299,-359075,-0.45659,359075,0.45659,125.6737,0.0001598
7,10.1653,-368655,-0.46877,368655,0.46877,125.5634,0.00015966
8,11.4056,-386119,-0.49098,386119,0.49098,125.834,0.00016001
9,11.4181,-408162,-0.519,408162,0.519,126.1161,0.00016036
10,11.7777,-379061,-0.482,379061,0.482,126.4172,0.00016075
11,13.78,-351716,-0.44723,351716,0.44723,126.4783,0.00016083
12,17.4717,-324356,-0.41244,324356,0.41244,126.2486,0.00016053
13,20.4922,-328115,-0.41722,328115,0.41722,126.0075,0.00016023
14,23.779,-332378,-0.42264,332378,0.42264,125.9058,0.0001601
15,27.8603,-338888,-0.43092,338888,0.43092,125.8379,0.00016001
16,31.5574,-345872,-0.4398,345872,0.4398,125.7716,0.00015993
17,34.1666,-344856,-0.43851,344856,0.43851,125.9119,0.00016011
18,36.5396,-343955,-0.43736,343955,0.43736,126.0477,0.00016028
19,39.5163,-344854,-0.4385,344854,0.4385,126.1996,0.00016047
20,40.6995,-338525,-0.43046,338525,0.43046,126.8449,0.00016129
21,33.3813,-334121,-0.42486,334121,0.42486,128.7073,0.00016366
22,31.8845,-364963,-0.46407,364963,0.46407,129.3492,0.00016448
23,30.6673,-436469,-0.555,436469,0.555,130.0959,0.00016543
24,41.9576,-398538,-0.50677,398538,0.50677,128.8851,0.00016389
25,62.463,-389618,-0.49542,389618,0.49542,126.8822,0.00016134
26,72.5218,-395909,-0.50342,395909,0.50342,126.7954,0.00016123
27,67.2107,-394398,-0.5015,394398,0.5015,127.6789,0.00016235
28,63.358,-407036,-0.51757,407036,0.51757,128.3135,0.00016316
29,53.2205,-404930,-0.5149,404930,0.5149,129.4725,0.00016463
30,51.0718,-405480,-0.51559,405480,0.51559,130.2304,0.0001656
