psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.40644,-335183,-0.82274,335183,0.82274,134.8402,0.00033098
3,1.0945,-422249,-1.0364,422249,1.0364,135.1427,0.00033172
4,1.9575,-420358,-1.0318,420358,1.0318,135.3145,0.00033214
5,2.5457,-411438,-1.0099,411438,1.0099,135.3026,0.00033211
6,3.5912,-413882,-1.0159,413882,1.0159,135.2181,0.0003319
7,3.8478,-414822,-1.0182,414822,1.0182,135.1682,0.00033178
8,4.3186,-410961,-1.0087,410961,1.0087,135.0524,0.0003315
9,4.8647,-408529,-1.0028,408529,1.0028,134.8881,0.0003311
10,6.0616,-378936,-0.93013,378936,0.93013,134.8578,0.00033102
11,9.4849,-367802,-0.9028,367802,0.9028,135.1489,0.00033174
12,14.3382,-390091,-0.95751,390091,0.95751,135.0696,0.00033154
13,19.9265,-410705,-1.0081,410705,1.0081,135.012,0.0003314
14,26.2817,-416130,-1.0214,416130,1.0214,135.2335,0.00033194
15,34.8528,-420292,-1.0316,420292,1.0316,135.3455,0.00033222
16,36.4208,-439660,-1.0792,439660,1.0792,135.7017,0.00033309
17,52.2925,-443489,-1.0886,443489,1.0886,135.3729,0.00033228
18,80.7784,-436224,-1.0708,436224,1.0708,135.59,0.00033282
19,104.2983,-439220,-1.0781,439220,1.0781,135.621,0.00033289
20,85.6296,-439674,-1.0792,439674,1.0792,135.962,0.00033373
21,75.0636,-416836,-1.0232,416836,1.0232,135.5098,0.00033262
22,70.5953,-395636,-0.97112,395636,0.97112,135.2978,0.0003321
23,75.6503,-379549,-0.93164,379549,0.93164,135.5667,0.00033276
24,76.9475,-375027,-0.92054,375027,0.92054,135.899,0.00033358
25,85.874,-374222,-0.91856,374222,0.91856,135.8269,0.0003334
26,80.3709,-414879,-1.0184,414879,1.0184,136.3401,0.00033466
27,83.4164,-400405,-0.98283,400405,0.98283,136.0116,0.00033385
28,86.2514,-378223,-0.92838,378223,0.92838,135.7475,0.0003332
29,88.9652,-374709,-0.91976,374709,0.91976,135.3494,0.00033223
30,90.0215,-376859,-0.92503,376859,0.92503,134.6436,0.00033049
