psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,2.0893,-114395,-2.8599,114395,2.8599,159.8156,0.0039954
3,6.3223,-136967,-3.4242,136967,3.4242,160.4368,0.0040109
4,13.3728,-136768,-3.4192,136768,3.4192,160.686,0.0040172
5,15.7225,-129732,-3.2433,129732,3.2433,159.8783,0.003997
6,27.446,-129185,-3.2296,129185,3.2296,159.7097,0.0039927
7,42.515,-133266,-3.3316,133266,3.3316,159.9564,0.0039989
8,47.6322,-134875,-3.3719,134875,3.3719,159.0692,0.0039767
9,59.05,-138574,-3.4644,138574,3.4644,158.9351,0.0039734
10,57.4412,-128113,-3.2028,128113,3.2028,157.3132,0.0039328
11,79.0094,-123354,-3.0838,123354,3.0838,157.516,0.0039379
12,131.8607,-132340,-3.3085,132340,3.3085,160.0136,0.0040003
13,179.2572,-136376,-3.4094,136376,3.4094,160.4661,0.0040117
14,218.786,-137525,-3.4381,137525,3.4381,159.9825,0.0039996
15,228.3411,-135346,-3.3836,135346,3.3836,158.7787,0.0039695
16,239.1562,-139008,-3.4752,139008,3.4752,157.485,0.0039371
17,263.2605,-141386,-3.5347,141386,3.5347,157.8448,0.0039461
18,292.3991,-141271,-3.5318,141271,3.5318,156.7228,0.0039181
19,293.4149,-139911,-3.4978,139911,3.4978,155.8087,0.0038952
20,342.962,-142765,-3.5691,142765,3.5691,157.7566,0.0039439
21,371.2393,-136576,-3.4144,136576,3.4144,158.1831,0.0039546
22,471.7734,-131611,-3.2903,131611,3.2903,159.4719,0.0039868
23,501.4936,-131368,-3.2842,131368,3.2842,160.2543,0.0040064
24,493.9374,-127888,-3.1972,127888,3.1972,159.3717,0.0039843
25,479.094,-119237,-2.9809,119237,2.9809,157.9666,0.0039492
26,497.6412,-121338,-3.0335,121338,3.0335,158.3147,0.0039579
27,521.3677,-122454,-3.0614,122454,3.0614,158.5739,0.0039643
28,558.4804,-126592,-3.1648,126592,3.1648,159.4913,0.0039873
29,582.4201,-128759,-3.219,128759,3.219,159.7062,0.0039927
30,557.6229,-126134,-3.1534,126134,3.1534,159.3775,0.0039844
