psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.92218,-6507,-0.022139,6507,0.022139,80.4861,0.00027385
3,1.7267,-75265,-0.25608,75265,0.25608,81.4313,0.00027706
4,2.5223,-96362,-0.32786,96362,0.32786,82.5566,0.00028089
5,3.2886,-105590,-0.35926,105590,0.35926,84.1602,0.00028635
6,4.1369,-112259,-0.38195,112259,0.38195,85.8034,0.00029194
7,5.004,-131728,-0.44819,131728,0.44819,87.3989,0.00029737
8,5.915,-128485,-0.43716,128485,0.43716,88.7879,0.00030209
9,6.7849,-129341,-0.44007,129341,0.44007,90.5411,0.00030806
10,7.1678,-132733,-0.45161,132733,0.45161,92.4175,0.00031444
11,8.0755,-161196,-0.54845,161196,0.54845,94.2179,0.00032057
12,8.6389,-155514,-0.52912,155514,0.52912,95.9905,0.0003266
13,9.2338,-153378,-0.52185,153378,0.52185,97.2933,0.00033103
14,10.3924,-144788,-0.49263,144788,0.49263,97.6192,0.00033214
15,11.0894,-149154,-0.50748,149154,0.50748,99.7483,0.00033938
16,13.9695,-144349,-0.49113,144349,0.49113,96.2117,0.00032735
17,14.2332,-153887,-0.52358,153887,0.52358,98.1616,0.00033398
18,15.2761,-153394,-0.52191,153394,0.52191,98.5479,0.0003353
19,17.0836,-165594,-0.56342,165594,0.56342,98.5366,0.00033526
20,15.0127,-174363,-0.59325,174363,0.59325,104.3474,0.00035503
21,15.0876,-136943,-0.46593,136943,0.46593,102.2362,0.00034785
22,64.4129,-156750,-0.53332,156750,0.53332,99.5523,0.00033872
23,69.5532,-166880,-0.56779,166880,0.56779,99.6855,0.00033917
24,75.9652,-176136,-0.59928,176136,0.59928,98.5295,0.00033524
25,82.0917,-185780,-0.6321,185780,0.6321,98.6735,0.00033573
26,87.9648,-195228,-0.66424,195228,0.66424,98.4414,0.00033494
27,93.0297,-200647,-0.68268,200647,0.68268,99.4793,0.00033847
28,99.0075,-205334,-0.69863,205334,0.69863,99.2697,0.00033775
29,105.0616,-205404,-0.69886,205404,0.69886,99.1666,0.0003374
30,111.6197,-201334,-0.68502,201334,0.68502,99.4381,0.00033833
