psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.75457,-486866,-0.69613,486866,0.69613,140.4019,0.00020075
3,2.0568,-467532,-0.66848,467532,0.66848,140.4986,0.00020089
4,3.8268,-462380,-0.66112,462380,0.66112,140.4378,0.0002008
5,4.4724,-449707,-0.643,449707,0.643,140.4009,0.00020075
6,6.2938,-441749,-0.63162,441749,0.63162,140.3333,0.00020065
7,8.9447,-436144,-0.6236,436144,0.6236,140.3608,0.00020069
8,12.3135,-437455,-0.62548,437455,0.62548,140.3162,0.00020063
9,16.1232,-449112,-0.64215,449112,0.64215,140.4042,0.00020075
10,22.7406,-472885,-0.67614,472885,0.67614,140.3918,0.00020073
11,25.6331,-477958,-0.68339,477958,0.68339,140.5307,0.00020093
12,25.2513,-462590,-0.66142,462590,0.66142,140.8867,0.00020144
13,26.932,-459112,-0.65644,459112,0.65644,140.539,0.00020094
14,27.2813,-438413,-0.62685,438413,0.62685,139.9667,0.00020013
15,38.2992,-438702,-0.62726,438702,0.62726,139.8304,0.00019993
16,39.6231,-451314,-0.64529,451314,0.64529,140.0025,0.00020018
17,33.4997,-455007,-0.65058,455007,0.65058,139.889,0.00020002
18,39.8751,-442413,-0.63257,442413,0.63257,139.6525,0.00019968
19,60.8557,-467082,-0.66784,467082,0.66784,139.6688,0.0001997
20,83.489,-500848,-0.71612,500848,0.71612,139.838,0.00019994
21,103.6352,-516124,-0.73796,516124,0.73796,140.1303,0.00020036
22,105.8711,-508232,-0.72668,508232,0.72668,140.3449,0.00020067
23,104.7346,-490991,-0.70203,490991,0.70203,140.3614,0.00020069
24,106.8337,-487636,-0.69723,487636,0.69723,140.1975,0.00020046
25,107.0449,-488521,-0.69849,488521,0.69849,140.1999,0.00020046
26,117.179,-487498,-0.69703,487498,0.69703,140.0813,0.00020029
27,147.0137,-486543,-0.69567,486543,0.69567,139.8843,0.00020001
28,176.6756,-473526,-0.67705,473526,0.67705,139.9618,0.00020012
29,199.8788,-470971,-0.6734,470971,0.6734,140.015,0.0002002
30,210.1188,-475433,-0.67978,475433,0.67978,140.0321,0.00020022
