psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.51063,-413916,-0.59182,413916,0.59182,126.7504,0.00018123
3,1.2922,-397126,-0.56782,397126,0.56782,126.7946,0.00018129
4,2.8487,-393671,-0.56288,393671,0.56288,126.7533,0.00018123
5,3.0181,-384254,-0.54941,384254,0.54941,126.7961,0.00018129
6,3.4542,-384780,-0.55016,384780,0.55016,126.871,0.0001814
7,5.3602,-374923,-0.53607,374923,0.53607,126.8671,0.0001814
8,6.658,-367687,-0.52572,367687,0.52572,126.9109,0.00018146
9,7.6132,-384400,-0.54962,384400,0.54962,126.6659,0.00018111
10,10.8056,-390753,-0.5587,390753,0.5587,126.5882,0.000181
11,11.1266,-387948,-0.55469,387948,0.55469,126.5282,0.00018091
12,16.7921,-396991,-0.56762,396991,0.56762,126.5904,0.000181
13,12.6876,-382558,-0.54699,382558,0.54699,126.389,0.00018071
14,14.8177,-360936,-0.51607,360936,0.51607,126.1072,0.00018031
15,26.8435,-388433,-0.55539,388433,0.55539,126.2931,0.00018058
16,25.6394,-380519,-0.54407,380519,0.54407,126.0713,0.00018026
17,23.9308,-366929,-0.52464,366929,0.52464,126.6821,0.00018113
18,30.1099,-353053,-0.5048,353053,0.5048,126.7463,0.00018122
19,42.4367,-369834,-0.52879,369834,0.52879,126.7907,0.00018129
20,34.4598,-400934,-0.57326,400934,0.57326,126.8699,0.0001814
21,54.9599,-404257,-0.57801,404257,0.57801,128.013,0.00018303
22,83.2057,-376820,-0.53878,376820,0.53878,127.8522,0.0001828
23,82.7489,-371882,-0.53172,371882,0.53172,128.0052,0.00018302
24,77.5427,-363556,-0.51982,363556,0.51982,127.602,0.00018245
25,91.9816,-363045,-0.51909,363045,0.51909,127.6983,0.00018258
26,119.1836,-373146,-0.53353,373146,0.53353,127.6185,0.00018247
27,94.867,-383061,-0.54771,383061,0.54771,127.8511,0.0001828
28,117.4874,-395418,-0.56537,395418,0.56537,128.0922,0.00018315
29,138.8359,-394969,-0.56473,394969,0.56473,128.0363,0.00018307
30,142.0691,-404006,-0.57765,404006,0.57765,127.6575,0.00018253
