psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.8874,-18384,-0.017473,18384,0.017473,114.0422,0.00010839
3,1.8436,-101733,-0.09669,101733,0.09669,114.8062,0.00010911
4,2.6631,-117741,-0.1119,117741,0.1119,114.5307,0.00010885
5,3.8635,-133201,-0.1266,133201,0.1266,112.6796,0.00010709
6,5.8653,-164048,-0.15592,164048,0.15592,112.1543,0.00010659
7,6.893,-190472,-0.18103,190472,0.18103,111.5734,0.00010604
8,7.8711,-213864,-0.20326,213864,0.20326,111.7459,0.00010621
9,9.0275,-248891,-0.23655,248891,0.23655,112.6234,0.00010704
10,12.5381,-280439,-0.26654,280439,0.26654,115.3437,0.00010963
11,12.3302,-364735,-0.34665,364735,0.34665,117.5062,0.00011168
12,13.59,-397951,-0.37822,397951,0.37822,117.6732,0.00011184
13,14.6164,-284384,-0.27029,284384,0.27029,117.3156,0.0001115
14,16.1761,-377393,-0.35868,377393,0.35868,118.9217,0.00011303
15,18.0534,-334068,-0.31751,334068,0.31751,118.1054,0.00011225
16,17.1461,-384278,-0.36523,384278,0.36523,118.209,0.00011235
17,17.8535,-409621,-0.38931,409621,0.38931,119.4277,0.00011351
18,20.0949,-347233,-0.33002,347233,0.33002,120.5688,0.00011459
19,22.8122,-456580,-0.43395,456580,0.43395,121,0.000115
20,24.6192,-400542,-0.38069,400542,0.38069,120.8822,0.00011489
21,24.4902,-439341,-0.41756,439341,0.41756,122.193,0.00011614
22,24.9295,-399336,-0.37954,399336,0.37954,122.6947,0.00011661
23,26.5881,-508501,-0.48329,508501,0.48329,121.722,0.00011569
24,26.7868,-427323,-0.40614,427323,0.40614,122.1145,0.00011606
25,29.075,-382019,-0.36308,382019,0.36308,122.8515,0.00011676
26,33.3184,-418415,-0.39767,418415,0.39767,122.7711,0.00011668
27,40.7096,-465184,-0.44212,465184,0.44212,123.0335,0.00011693
28,33.0806,-420780,-0.39992,420780,0.39992,123.0235,0.00011692
29,33.4284,-465355,-0.44229,465355,0.44229,122.322,0.00011626
30,33.4349,-397930,-0.3782,397930,0.3782,123.201,0.00011709
