psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.45186,-663898,-0.84419,663898,0.84419,158.3243,0.00020132
3,1.3098,-648525,-0.82464,648525,0.82464,158.4214,0.00020144
4,2.3052,-637598,-0.81075,637598,0.81075,158.461,0.00020149
5,3.0807,-630342,-0.80152,630342,0.80152,158.4691,0.0002015
6,3.7302,-626612,-0.79678,626612,0.79678,158.421,0.00020144
7,4.4162,-625892,-0.79586,625892,0.79586,158.4052,0.00020142
8,5.1013,-620062,-0.78845,620062,0.78845,158.396,0.00020141
9,5.598,-617548,-0.78525,617548,0.78525,158.3205,0.00020131
10,6.3425,-615261,-0.78234,615261,0.78234,158.3038,0.00020129
11,7.3588,-623814,-0.79322,623814,0.79322,158.3501,0.00020135
12,8.3098,-626481,-0.79661,626481,0.79661,158.2398,0.00020121
13,9.2825,-622624,-0.79171,622624,0.79171,158.1089,0.00020105
14,11.6803,-621454,-0.79022,621454,0.79022,158.2098,0.00020117
15,12.5718,-616187,-0.78352,616187,0.78352,157.8568,0.00020073
16,13.9236,-618587,-0.78657,618587,0.78657,157.4814,0.00020025
17,16.3138,-620603,-0.78914,620603,0.78914,157.7663,0.00020061
18,18.179,-625055,-0.7948,625055,0.7948,157.4257,0.00020018
19,17.1913,-620130,-0.78854,620130,0.78854,156.4196,0.0001989
20,21.7346,-632697,-0.80452,632697,0.80452,157.146,0.00019982
21,28.9262,-654016,-0.83162,654016,0.83162,157.8884,0.00020077
22,30.4303,-664528,-0.84499,664528,0.84499,157.6253,0.00020043
23,29.3352,-666866,-0.84796,666866,0.84796,157.2798,0.00019999
24,31.9543,-661280,-0.84086,661280,0.84086,157.2211,0.00019992
25,38.0437,-658451,-0.83726,658451,0.83726,157.3936,0.00020014
26,44.9905,-667999,-0.8494,667999,0.8494,157.5564,0.00020034
27,48.4073,-683049,-0.86854,683049,0.86854,157.4597,0.00020022
28,50.2439,-679112,-0.86354,679112,0.86354,157.372,0.00020011
29,57.9506,-670720,-0.85286,670720,0.85286,157.8587,0.00020073
30,64.3732,-664381,-0.8448,664381,0.8448,157.8517,0.00020072
