psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.94737,-31800,-0.10694,31800,0.10694,71.4723,0.00024036
3,2.8681,-49191,-0.16543,49191,0.16543,74.7433,0.00025136
4,4.4642,-64947,-0.21842,64947,0.21842,77.3972,0.00026029
5,5.8884,-63265,-0.21276,63265,0.21276,80.5153,0.00027077
6,7.0998,-73293,-0.24649,73293,0.24649,85.9593,0.00028908
7,8.6876,-65441,-0.22008,65441,0.22008,93.5796,0.00031471
8,9.8533,-93257,-0.31362,93257,0.31362,92.7678,0.00031198
9,23.0582,-77894,-0.26196,77894,0.26196,101.0061,0.00033969
10,69.5369,-296539,-0.99727,296539,0.99727,89.9738,0.00030258
11,5366.7299,-59430,-0.19986,59430,0.19986,79.3515,0.00026686
12,5772.9126,-59918,-0.20151,59918,0.20151,80.1607,0.00026958
13,59.949,-272898,-0.91776,272898,0.91776,103.4209,0.00034781
14,6059.3147,-60698,-0.20413,60698,0.20413,81.4857,0.00027404
15,6418.0177,-61347,-0.20631,61347,0.20631,82.2354,0.00027656
16,7191.3297,-251456,-0.84565,251456,0.84565,83.1025,0.00027948
17,7419.117,-263755,-0.88701,263755,0.88701,83.8124,0.00028186
18,8016.9596,-245234,-0.82473,245234,0.82473,83.1898,0.00027977
19,7062.9622,-260336,-0.87551,260336,0.87551,84.7265,0.00028494
20,7752.1371,-246881,-0.83027,246881,0.83027,84.5812,0.00028445
21,6391.4203,-248784,-0.83666,248784,0.83666,85.6147,0.00028792
22,7774.8657,-237874,-0.79997,237874,0.79997,86.1089,0.00028959
23,32.1472,-184387,-0.6201,184387,0.6201,115.4306,0.00038819
24,8619.1148,-127751,-0.42963,127751,0.42963,86.5721,0.00029114
25,6041.704,-82757,-0.27831,82757,0.27831,86.8927,0.00029222
26,6272.0264,-70857,-0.23829,70857,0.23829,87.8474,0.00029543
27,6081.0492,-75038,-0.25235,75038,0.25235,87.4736,0.00029418
28,6749.8763,-74408,-0.25024,74408,0.25024,88.7447,0.00029845
29,376.8935,-58120,-0.19546,58120,0.19546,79.3066,0.00026671
30,6106.8843,-78031,-0.26242,78031,0.26242,88.6334,0.00029808
