psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.44783,-209589,-0.59652,209589,0.59652,99.6957,0.00028375
3,1.0904,-209595,-0.59654,209595,0.59654,100.5788,0.00028626
4,1.7135,-208974,-0.59477,208974,0.59477,101.7427,0.00028958
5,2.5629,-208909,-0.59459,208909,0.59459,103.0449,0.00029328
6,3.616,-213961,-0.60897,213961,0.60897,104.8634,0.00029846
7,7.1649,-217110,-0.61793,217110,0.61793,105.7287,0.00030092
8,11.811,-208516,-0.59347,208516,0.59347,105.8049,0.00030114
9,28.5234,-212270,-0.60415,212270,0.60415,103.1863,0.00029368
10,42.9411,-214290,-0.6099,214290,0.6099,102.4997,0.00029173
11,56.5137,-206989,-0.58912,206989,0.58912,102.4045,0.00029146
12,73.2767,-200760,-0.57139,200760,0.57139,101.917,0.00029007
13,75.4512,-204389,-0.58172,204389,0.58172,103.0545,0.00029331
14,91.5079,-198441,-0.56479,198441,0.56479,103.3331,0.0002941
15,132.4688,-193795,-0.55157,193795,0.55157,101.4666,0.00028879
16,155.1572,-197396,-0.56182,197396,0.56182,100.3705,0.00028567
17,179.2613,-199841,-0.56878,199841,0.56878,99.5758,0.00028341
18,198.8714,-201401,-0.57322,201401,0.57322,99.5332,0.00028329
19,182.2363,-205077,-0.58368,205077,0.58368,101.2927,0.00028829
20,186.8127,-203496,-0.57918,203496,0.57918,101.4061,0.00028862
21,230.7441,-208536,-0.59353,208536,0.59353,99.3349,0.00028272
22,241.0913,-208701,-0.594,208701,0.594,99.2647,0.00028252
23,245.6443,-207352,-0.59016,207352,0.59016,99.2545,0.00028249
24,245.8276,-206334,-0.58726,206334,0.58726,99.2387,0.00028245
25,247.8177,-204288,-0.58144,204288,0.58144,99.3039,0.00028263
26,246.9101,-200529,-0.57074,200529,0.57074,99.3029,0.00028263
27,210.5358,-198070,-0.56374,198070,0.56374,99.6375,0.00028358
28,212.2772,-198676,-0.56546,198676,0.56546,99.5511,0.00028334
29,219.3909,-199149,-0.56681,199149,0.56681,99.6003,0.00028348
30,216.7322,-198073,-0.56375,198073,0.56375,99.7354,0.00028386
