psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,1.2904,-495049,-0.83932,495049,0.83932,141.8431,0.00024048
3,3.122,-455111,-0.7716,455111,0.7716,141.915,0.00024061
4,5.0429,-433455,-0.73489,433455,0.73489,141.8548,0.0002405
5,6.6715,-420416,-0.71278,420416,0.71278,141.8641,0.00024052
6,8.3476,-414155,-0.70217,414155,0.70217,141.8905,0.00024056
7,9.8018,-411247,-0.69724,411247,0.69724,141.959,0.00024068
8,11.2139,-403310,-0.68378,403310,0.68378,142.0709,0.00024087
9,13.0895,-426817,-0.72363,426817,0.72363,142.0174,0.00024078
10,14.5336,-409948,-0.69503,409948,0.69503,142.1443,0.00024099
11,16.3718,-406915,-0.68989,406915,0.68989,142.1934,0.00024108
12,17.0108,-405714,-0.68786,405714,0.68786,142.4287,0.00024148
13,19.7591,-395108,-0.66987,395108,0.66987,142.416,0.00024146
14,21.5339,-420158,-0.71234,420158,0.71234,142.5942,0.00024176
15,23.6522,-413516,-0.70108,413516,0.70108,142.7313,0.00024199
16,28.6311,-439458,-0.74507,439458,0.74507,142.7716,0.00024206
17,21.5259,-439120,-0.74449,439120,0.74449,144.196,0.00024447
18,24.4835,-415419,-0.70431,415419,0.70431,143.8585,0.0002439
19,30.9846,-406508,-0.6892,406508,0.6892,143.3987,0.00024312
20,41.2563,-437833,-0.74231,437833,0.74231,142.7496,0.00024202
21,38.4483,-454204,-0.77007,454204,0.77007,143.264,0.00024289
22,31.4976,-445355,-0.75506,445355,0.75506,143.9094,0.00024399
23,33.0004,-426499,-0.7231,426499,0.7231,144.4613,0.00024492
24,38.6597,-410939,-0.69671,410939,0.69671,144.7487,0.00024541
25,46.2162,-416032,-0.70535,416032,0.70535,144.8323,0.00024555
26,54.3996,-462438,-0.78403,462438,0.78403,144.688,0.00024531
27,50.5242,-470818,-0.79823,470818,0.79823,144.6572,0.00024525
28,49.4545,-452709,-0.76753,452709,0.76753,144.2775,0.00024461
29,51.5045,-439696,-0.74547,439696,0.74547,143.9897,0.00024412
30,57.45,-419652,-0.71149,419652,0.71149,143.7535,0.00024372
