psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.41691,-587301,-0.74679,587301,0.74679,196.9013,0.00025037
3,0.87486,-712158,-0.90556,712158,0.90556,195.4762,0.00024856
4,1.2598,-725459,-0.92247,725459,0.92247,193.3519,0.00024586
5,1.7058,-703489,-0.89453,703489,0.89453,190.5912,0.00024235
6,2.1961,-692026,-0.87996,692026,0.87996,186.7343,0.00023744
7,2.7518,-650352,-0.82697,650352,0.82697,183.0275,0.00023273
8,3.4644,-645493,-0.82079,645493,0.82079,178.5144,0.00022699
9,4.2349,-618263,-0.78616,618263,0.78616,174.0531,0.00022132
10,4.8277,-601399,-0.76472,601399,0.76472,169.5886,0.00021564
11,5.7205,-573276,-0.72896,573276,0.72896,165.6077,0.00021058
12,9.0368,-552518,-0.70256,552518,0.70256,164.0021,0.00020854
13,9.9739,-562663,-0.71546,562663,0.71546,161.008,0.00020473
14,15.3254,-574494,-0.73051,574494,0.73051,161.3254,0.00020514
15,14.9518,-529331,-0.67308,529331,0.67308,156.9095,0.00019952
16,18.0352,-578425,-0.73551,578425,0.73551,155.0635,0.00019717
17,30.1797,-580722,-0.73843,580722,0.73843,161.3586,0.00020518
18,43.2044,-563569,-0.71662,563569,0.71662,165.438,0.00021037
19,55.896,-602474,-0.76609,602474,0.76609,169.0653,0.00021498
20,48.1536,-586197,-0.74539,586197,0.74539,162.4637,0.00020658
21,48.0333,-567223,-0.72126,567223,0.72126,159.6118,0.00020296
22,63.7693,-583648,-0.74215,583648,0.74215,161.96,0.00020594
23,72.3207,-595422,-0.75712,595422,0.75712,161.6921,0.0002056
24,67.5221,-582383,-0.74054,582383,0.74054,157.2594,0.00019997
25,86.4498,-595587,-0.75733,595587,0.75733,160.5528,0.00020415
26,115.4684,-613802,-0.78049,613802,0.78049,165.0347,0.00020985
27,124.9431,-608814,-0.77415,608814,0.77415,165.4108,0.00021033
28,84.2349,-543322,-0.69087,543322,0.69087,154.4617,0.00019641
29,89.1814,-562165,-0.71483,562165,0.71483,157.4238,0.00020017
30,111.6587,-580065,-0.73759,580065,0.73759,161.8514,0.0002058
