psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,2.112,-255935,-0.97631,255935,0.97631,169.9634,0.00064836
3,3.7724,-264678,-1.0097,264678,1.0097,167.0156,0.00063711
4,6.0238,-252537,-0.96335,252537,0.96335,161.235,0.00061506
5,9.0438,-250369,-0.95508,250369,0.95508,156.9916,0.00059888
6,12.8383,-255596,-0.97502,255596,0.97502,153.8185,0.00058677
7,19.5302,-261167,-0.99627,261167,0.99627,154.8194,0.00059059
8,25.2524,-252652,-0.96379,252652,0.96379,154.2107,0.00058827
9,26.885,-240016,-0.91559,240016,0.91559,150.0952,0.00057257
10,35.6555,-261459,-0.99739,261459,0.99739,151.7136,0.00057874
11,45.7412,-280626,-1.0705,280626,1.0705,152.7133,0.00058255
12,44.4447,-267722,-1.0213,267722,1.0213,149.2673,0.00056941
13,42.0085,-239465,-0.91349,239465,0.91349,147.2385,0.00056167
14,76.4014,-285027,-1.0873,285027,1.0873,155.3223,0.00059251
15,94.3434,-302029,-1.1521,302029,1.1521,158.0083,0.00060275
16,127.778,-329495,-1.2569,329495,1.2569,165.5281,0.00063144
17,82.4738,-290148,-1.1068,290148,1.1068,151.7105,0.00057873
18,94.8612,-290582,-1.1085,290582,1.1085,154.3135,0.00058866
19,112.0943,-285817,-1.0903,285817,1.0903,156.8832,0.00059846
20,117.4213,-284238,-1.0843,284238,1.0843,155.9125,0.00059476
21,124.4312,-289503,-1.1044,289503,1.1044,156.6312,0.0005975
22,127.529,-288213,-1.0994,288213,1.0994,156.2766,0.00059615
23,156.5079,-290354,-1.1076,290354,1.1076,160.8042,0.00061342
24,123.0612,-270936,-1.0335,270936,1.0335,152.2201,0.00058067
25,134.4628,-278179,-1.0612,278179,1.0612,152.3703,0.00058125
26,194.8688,-310005,-1.1826,310005,1.1826,162.9692,0.00062168
27,252.832,-335798,-1.281,335798,1.281,174.8044,0.00066683
28,221.922,-309405,-1.1803,309405,1.1803,166.7825,0.00063622
29,202.5445,-300720,-1.1472,300720,1.1472,162.2753,0.00061903
30,164.5736,-308650,-1.1774,308650,1.1774,155.0884,0.00059162
