psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.53774,-12328,-0.032202,12328,0.032202,52.8433,0.00013803
3,1.0561,-67177,-0.17547,67177,0.17547,53.308,0.00013924
4,1.5306,-70347,-0.18375,70347,0.18375,53.813,0.00014056
5,2.0217,-69047,-0.18036,69047,0.18036,54.3358,0.00014193
6,2.5533,-71617,-0.18707,71617,0.18707,55.1723,0.00014411
7,3.0511,-76918,-0.20092,76918,0.20092,56.0329,0.00014636
8,3.546,-76141,-0.19889,76141,0.19889,56.9877,0.00014886
9,4.0212,-85786,-0.22408,85786,0.22408,57.6884,0.00015069
10,4.4647,-81411,-0.21265,81411,0.21265,58.8212,0.00015365
11,4.9353,-85963,-0.22454,85963,0.22454,59.8774,0.0001564
12,5.3362,-104728,-0.27356,104728,0.27356,60.9544,0.00015922
13,5.9417,-93212,-0.24348,93212,0.24348,61.2703,0.00016004
14,6.2185,-90169,-0.23553,90169,0.23553,63.2456,0.0001652
15,6.8336,-90629,-0.23673,90629,0.23673,63.3984,0.0001656
16,7.0059,-87946,-0.22972,87946,0.22972,64.6884,0.00016897
17,7.6643,-100156,-0.26162,100156,0.26162,65.1356,0.00017014
18,7.3547,-126186,-0.32961,126186,0.32961,71.3404,0.00018635
19,7.6216,-152816,-0.39917,152816,0.39917,72.7951,0.00019015
20,7.9782,-131963,-0.3447,131963,0.3447,72.0723,0.00018826
21,8.3309,-131496,-0.34348,131496,0.34348,72.6433,0.00018975
22,8.6919,-133834,-0.34958,133834,0.34958,74.5673,0.00019478
23,10.6543,-115877,-0.30268,115877,0.30268,69.4379,0.00018138
24,10.2403,-120224,-0.31403,120224,0.31403,74.2099,0.00019384
25,9.6973,-123482,-0.32254,123482,0.32254,77.1975,0.00020165
26,12.4867,-120934,-0.31589,120934,0.31589,72.1187,0.00018838
27,10.2472,-127183,-0.33221,127183,0.33221,79.763,0.00020835
28,11.8497,-143074,-0.37372,143074,0.37372,78.6489,0.00020544
29,10.8721,-144996,-0.37874,144996,0.37874,81.7078,0.00021343
30,13.8517,-138609,-0.36206,138609,0.36206,79.733,0.00020827
