psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.72095,-232268,-0.88603,232268,0.88603,136.6259,0.00052119
3,1.5232,-275868,-1.0524,275868,1.0524,136.5078,0.00052074
4,4.3015,-271115,-1.0342,271115,1.0342,136.1278,0.00051929
5,11.9566,-261904,-0.99908,261904,0.99908,135.9999,0.0005188
6,23.5931,-257738,-0.98319,257738,0.98319,136.0979,0.00051917
7,53.2722,-273996,-1.0452,273996,1.0452,137.2308,0.00052349
8,87.4344,-284098,-1.0837,284098,1.0837,137.9432,0.00052621
9,116.9882,-286679,-1.0936,286679,1.0936,138.4124,0.000528
10,130.8828,-284845,-1.0866,284845,1.0866,138.5788,0.00052864
11,184.6657,-281655,-1.0744,281655,1.0744,138.4985,0.00052833
12,233.1967,-281603,-1.0742,281603,1.0742,138.3063,0.0005276
13,270.378,-279864,-1.0676,279864,1.0676,138.2943,0.00052755
14,299.7973,-279764,-1.0672,279764,1.0672,138.2194,0.00052727
15,329.3337,-280323,-1.0693,280323,1.0693,137.9507,0.00052624
16,371.3959,-280681,-1.0707,280681,1.0707,137.7858,0.00052561
17,425.1458,-280499,-1.07,280499,1.07,137.7463,0.00052546
18,475.9059,-278377,-1.0619,278377,1.0619,137.7591,0.00052551
19,526.367,-278832,-1.0637,278832,1.0637,137.6822,0.00052522
20,546.1668,-280808,-1.0712,280808,1.0712,137.6936,0.00052526
21,565.9323,-280986,-1.0719,280986,1.0719,137.4416,0.0005243
22,573.8776,-282973,-1.0795,282973,1.0795,137.342,0.00052392
23,575.8703,-285524,-1.0892,285524,1.0892,137.1969,0.00052336
24,571.0216,-287672,-1.0974,287672,1.0974,137.0827,0.00052293
25,560.9052,-288881,-1.102,288881,1.102,136.9844,0.00052255
26,526.8898,-290277,-1.1073,290277,1.1073,136.8593,0.00052208
27,477.1775,-293844,-1.1209,293844,1.1209,136.0651,0.00051905
28,402.1165,-298118,-1.1372,298118,1.1372,135.2877,0.00051608
29,375.0001,-293368,-1.1191,293368,1.1191,136.1315,0.0005193
30,309.1406,-295627,-1.1277,295627,1.1277,135.6025,0.00051728
