psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.33828,-340873,-0.69877,340873,0.69877,142.1531,0.00029141
3,1.0329,-347143,-0.71163,347143,0.71163,141.6965,0.00029047
4,1.7218,-345928,-0.70913,345928,0.70913,141.2126,0.00028948
5,2.7065,-334589,-0.68589,334589,0.68589,140.0932,0.00028718
6,3.8863,-322968,-0.66207,322968,0.66207,139.1288,0.00028521
7,4.7552,-338384,-0.69367,338384,0.69367,138.5604,0.00028404
8,5.5139,-358328,-0.73455,358328,0.73455,138.0129,0.00028292
9,6.6543,-363711,-0.74559,363711,0.74559,136.8744,0.00028059
10,9.0139,-353460,-0.72457,353460,0.72457,136.4107,0.00027964
11,16.7743,-325963,-0.66821,325963,0.66821,137.3606,0.00028158
12,22.1769,-367487,-0.75333,367487,0.75333,137.4485,0.00028176
13,32.9393,-356510,-0.73083,356510,0.73083,138.4044,0.00028372
14,53.0965,-364509,-0.74722,364509,0.74722,139.9645,0.00028692
15,105.1978,-361241,-0.74053,361241,0.74053,142.8032,0.00029274
16,110.743,-363631,-0.74543,363631,0.74543,142.8833,0.0002929
17,131.2825,-352953,-0.72354,352953,0.72354,143.4889,0.00029414
18,142.8303,-355004,-0.72774,355004,0.72774,143.6472,0.00029447
19,158.165,-351680,-0.72093,351680,0.72093,143.7624,0.00029471
20,30.5288,-374927,-0.76858,374927,0.76858,131.5332,0.00026964
21,16.6929,-332007,-0.6806,332007,0.6806,130.4766,0.00026747
22,19.2976,-301391,-0.61784,301391,0.61784,131.0724,0.00026869
23,20.2753,-317199,-0.65024,317199,0.65024,130.6954,0.00026792
24,21.4142,-407109,-0.83455,407109,0.83455,130.2816,0.00026707
25,32.1088,-344518,-0.70624,344518,0.70624,130.8003,0.00026813
26,22.4723,-360375,-0.73875,360375,0.73875,129.6022,0.00026568
27,2371.567,-329119,-0.67468,329119,0.67468,143.145,0.00029344
28,37.9077,-337649,-0.69216,337649,0.69216,129.5252,0.00026552
29,30.9828,-274808,-0.56334,274808,0.56334,128.8854,0.00026421
30,39.9264,-257241,-0.52733,257241,0.52733,129.2925,0.00026504
