psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.91568,-340923,-0.45067,340923,0.45067,107.4487,0.00014204
3,5.5658,-339323,-0.44856,339323,0.44856,107.5284,0.00014214
4,13.4929,-337580,-0.44625,337580,0.44625,107.5225,0.00014214
5,19.3595,-337305,-0.44589,337305,0.44589,107.7326,0.00014241
6,26.9446,-338276,-0.44717,338276,0.44717,107.7056,0.00014238
7,26.9213,-340802,-0.45051,340802,0.45051,108.0369,0.00014282
8,28.6693,-342721,-0.45305,342721,0.45305,108.1446,0.00014296
9,20.8308,-341220,-0.45106,341220,0.45106,109.1293,0.00014426
10,28.5871,-343378,-0.45392,343378,0.45392,108.7654,0.00014378
11,23.4586,-333443,-0.44078,333443,0.44078,109.22,0.00014438
12,31.5107,-320587,-0.42379,320587,0.42379,108.7488,0.00014376
13,33.3682,-340085,-0.44956,340085,0.44956,109.2003,0.00014435
14,44.1457,-335404,-0.44337,335404,0.44337,108.6709,0.00014365
15,50.6152,-329840,-0.43602,329840,0.43602,108.248,0.00014309
16,51.0183,-321688,-0.42524,321688,0.42524,108.2512,0.0001431
17,44.7815,-329685,-0.43581,329685,0.43581,109.042,0.00014414
18,58.2163,-336268,-0.44452,336268,0.44452,108.2703,0.00014312
19,65.7096,-343344,-0.45387,343344,0.45387,107.9022,0.00014264
20,69.9212,-345431,-0.45663,345431,0.45663,107.8051,0.00014251
21,65.9095,-348786,-0.46106,348786,0.46106,108.0822,0.00014288
22,64.7911,-350357,-0.46314,350357,0.46314,108.1405,0.00014295
23,67.2338,-343957,-0.45468,343957,0.45468,107.9614,0.00014272
24,71.6618,-342221,-0.45239,342221,0.45239,107.6717,0.00014233
25,70.1867,-344376,-0.45523,344376,0.45523,107.9023,0.00014264
26,65.8365,-344417,-0.45529,344417,0.45529,108.2628,0.00014311
27,62.5254,-347153,-0.45891,347153,0.45891,108.4302,0.00014334
28,63.4254,-347815,-0.45978,347815,0.45978,108.1448,0.00014296
29,64.3725,-348871,-0.46118,348871,0.46118,107.9615,0.00014272
30,58.5159,-353603,-0.46743,353603,0.46743,108.4819,0.0001434
