psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.1091,-22145,-0.10039,22145,0.10039,27.3552,0.00012401
3,0.20693,-32618,-0.14787,32618,0.14787,27.6288,0.00012526
4,0.27337,-43754,-0.19836,43754,0.19836,27.7855,0.00012597
5,0.33528,-43066,-0.19524,43066,0.19524,27.9501,0.00012671
6,0.40793,-39840,-0.18061,39840,0.18061,27.7514,0.00012581
7,0.45748,-46648,-0.21148,46648,0.21148,27.784,0.00012596
8,0.50404,-51931,-0.23543,51931,0.23543,27.7257,0.00012569
9,0.57077,-47030,-0.21321,47030,0.21321,27.9973,0.00012693
10,0.67311,-52515,-0.23808,52515,0.23808,27.9867,0.00012688
11,0.74726,-59052,-0.26771,59052,0.26771,28.0319,0.00012708
12,0.72075,-63037,-0.28578,63037,0.28578,28.1585,0.00012766
13,0.90899,-47157,-0.21379,47157,0.21379,28.0738,0.00012727
14,1.0036,-43093,-0.19536,43093,0.19536,28.1446,0.00012759
15,1.2491,-49148,-0.22281,49148,0.22281,28.0049,0.00012696
16,1.0174,-69003,-0.31283,69003,0.31283,28.5111,0.00012925
17,0.96441,-84607,-0.38357,84607,0.38357,28.8383,0.00013074
18,1.1716,-87705,-0.39761,87705,0.39761,28.8204,0.00013066
19,1.3932,-88400,-0.40076,88400,0.40076,28.8909,0.00013098
20,1.3443,-93547,-0.4241,93547,0.4241,29.3589,0.0001331
21,1.7906,-86423,-0.3918,86423,0.3918,29.1563,0.00013218
22,2.439,-76741,-0.34791,76741,0.34791,28.9719,0.00013134
23,2.8833,-84808,-0.38448,84808,0.38448,29.0885,0.00013187
24,4.8052,-48016,-0.21768,48016,0.21768,27.3648,0.00012406
25,5.2712,-49380,-0.22386,49380,0.22386,27.414,0.00012428
26,6.8542,-44065,-0.19977,44065,0.19977,27.264,0.0001236
27,5.3349,-51946,-0.2355,51946,0.2355,28.5963,0.00012964
28,3.4632,-55409,-0.2512,55409,0.2512,30.1843,0.00013684
29,3.191,-53533,-0.24269,53533,0.24269,30.3011,0.00013737
30,4.0572,-51513,-0.23353,51513,0.23353,30.4679,0.00013813
