psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,1.2647,-406800,-0.53775,406800,0.53775,116.6411,0.00015419
3,2.6634,-415150,-0.54879,415150,0.54879,116.9,0.00015453
4,3.5077,-398682,-0.52702,398682,0.52702,116.9047,0.00015454
5,6.1555,-396469,-0.5241,396469,0.5241,117.0379,0.00015471
6,7.775,-409539,-0.54137,409539,0.54137,117.5657,0.00015541
7,11.7923,-391591,-0.51765,391591,0.51765,116.9172,0.00015455
8,24.6903,-405011,-0.53539,405011,0.53539,116.6887,0.00015425
9,12.0289,-376174,-0.49727,376174,0.49727,118.1939,0.00015624
10,23.3394,-385029,-0.50897,385029,0.50897,117.7641,0.00015567
11,20.2898,-341270,-0.45113,341270,0.45113,118.0932,0.00015611
12,29.0742,-362842,-0.47965,362842,0.47965,117.8626,0.0001558
13,30.6938,-391198,-0.51713,391198,0.51713,117.8494,0.00015579
14,22.5386,-379232,-0.50131,379232,0.50131,118.4275,0.00015655
15,30.5377,-395834,-0.52326,395834,0.52326,117.9223,0.00015588
16,35.6055,-415285,-0.54897,415285,0.54897,117.9728,0.00015595
17,31.7643,-410949,-0.54324,410949,0.54324,118.418,0.00015654
18,38.2244,-415891,-0.54977,415891,0.54977,118.2108,0.00015626
19,44.692,-445673,-0.58914,445673,0.58914,118.3726,0.00015648
20,53.2465,-432701,-0.57199,432701,0.57199,118.2408,0.0001563
21,58.9054,-398200,-0.52639,398200,0.52639,117.8021,0.00015572
22,51.4836,-387896,-0.51276,387896,0.51276,117.8978,0.00015585
23,53.7186,-387393,-0.5121,387393,0.5121,117.9848,0.00015597
24,59.7675,-383534,-0.507,383534,0.507,117.9494,0.00015592
25,56.1674,-410222,-0.54228,410222,0.54228,118.5894,0.00015676
26,55.7434,-416648,-0.55077,416648,0.55077,118.4585,0.00015659
27,58.57,-409939,-0.5419,409939,0.5419,118.2613,0.00015633
28,56.574,-394482,-0.52147,394482,0.52147,118.4709,0.00015661
29,60.9829,-386148,-0.51045,386148,0.51045,118.046,0.00015605
30,64.9489,-376433,-0.49761,376433,0.49761,118.0422,0.00015604
