psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.89607,-248972,-1.048,248972,1.048,141.2714,0.00059466
3,2.7424,-239471,-1.008,239471,1.008,138.9902,0.00058505
4,8.6988,-245455,-1.0332,245455,1.0332,138.1342,0.00058145
5,25.2297,-248080,-1.0442,248080,1.0442,138.6384,0.00058357
6,33.1523,-261525,-1.1008,261525,1.1008,137.537,0.00057894
7,65.6659,-260905,-1.0982,260905,1.0982,139.3784,0.00058669
8,73.4742,-268594,-1.1306,268594,1.1306,138.3635,0.00058242
9,83.9779,-261306,-1.0999,261306,1.0999,138.4009,0.00058257
10,93.1331,-265891,-1.1192,265891,1.1192,137.9415,0.00058064
11,141.6432,-269377,-1.1339,269377,1.1339,139.0167,0.00058517
12,198.0623,-277668,-1.1688,277668,1.1688,141.4071,0.00059523
13,216.1408,-271700,-1.1437,271700,1.1437,141.7916,0.00059685
14,249.1843,-267786,-1.1272,267786,1.1272,142.4481,0.00059961
15,251.126,-266231,-1.1207,266231,1.1207,142.2303,0.00059869
16,226.14,-271699,-1.1437,271699,1.1437,141.1724,0.00059424
17,243.9083,-273303,-1.1504,273303,1.1504,141.3112,0.00059482
18,230.907,-270322,-1.1379,270322,1.1379,140.5694,0.0005917
19,241.0099,-272675,-1.1478,272675,1.1478,140.2873,0.00059051
20,233.0056,-269826,-1.1358,269826,1.1358,139.6797,0.00058796
21,212.0357,-262197,-1.1037,262197,1.1037,138.7031,0.00058385
22,206.4236,-266596,-1.1222,266596,1.1222,138.5681,0.00058328
23,201.8435,-273245,-1.1502,273245,1.1502,138.7298,0.00058396
24,208.6596,-285327,-1.201,285327,1.201,138.7607,0.00058409
25,237.196,-288909,-1.2161,288909,1.2161,138.5226,0.00058309
26,246.1859,-294639,-1.2402,294639,1.2402,138.9735,0.00058498
27,231.3058,-292203,-1.23,292203,1.23,138.3214,0.00058224
28,250.001,-295277,-1.2429,295277,1.2429,139.4888,0.00058715
29,284.1275,-294186,-1.2383,294186,1.2383,140.6863,0.00059219
30,294.9145,-286569,-1.2063,286569,1.2063,140.5134,0.00059147
