psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,1.8887,-226765,-0.95453,226765,0.95453,142.5714,0.00060013
3,6.8761,-239762,-1.0092,239762,1.0092,141.7805,0.0005968
4,15.9886,-236232,-0.99438,236232,0.99438,140.7785,0.00059258
5,30.7747,-239126,-1.0066,239126,1.0066,140.8185,0.00059275
6,43.8898,-241365,-1.016,241365,1.016,140.8849,0.00059303
7,49.6589,-239006,-1.0061,239006,1.0061,140.4751,0.0005913
8,112.9987,-244769,-1.0303,244769,1.0303,143.1765,0.00060268
9,171.3413,-248835,-1.0474,248835,1.0474,143.8889,0.00060567
10,207.5136,-259374,-1.0918,259374,1.0918,144.0954,0.00060654
11,210.6998,-262190,-1.1036,262190,1.1036,144.3462,0.0006076
12,234.7874,-264481,-1.1133,264481,1.1133,144.4899,0.0006082
13,254.1105,-258783,-1.0893,258783,1.0893,144.3429,0.00060759
14,297.4575,-257652,-1.0845,257652,1.0845,144.1381,0.00060672
15,326.4752,-259062,-1.0905,259062,1.0905,144.0074,0.00060617
16,358.4394,-258571,-1.0884,258571,1.0884,143.899,0.00060572
17,385.9154,-256634,-1.0803,256634,1.0803,143.7345,0.00060502
18,396.867,-255118,-1.0739,255118,1.0739,143.6743,0.00060477
19,404.9322,-254103,-1.0696,254103,1.0696,143.6777,0.00060479
20,404.4606,-253194,-1.0658,253194,1.0658,143.6856,0.00060482
21,405.1584,-253703,-1.0679,253703,1.0679,143.6242,0.00060456
22,407.0984,-255190,-1.0742,255190,1.0742,143.5996,0.00060446
23,396.9447,-258756,-1.0892,258756,1.0892,143.4819,0.00060396
24,352.8957,-261057,-1.0989,261057,1.0989,142.2912,0.00059895
25,452.6358,-244176,-1.0278,244176,1.0278,143.3836,0.00060355
26,499.1366,-250239,-1.0533,250239,1.0533,143.5537,0.00060426
27,513.2278,-251617,-1.0591,251617,1.0591,143.5239,0.00060414
28,516.9981,-250478,-1.0543,250478,1.0543,143.4423,0.00060379
29,537.9346,-250097,-1.0527,250097,1.0527,143.4545,0.00060385
30,568.9017,-251948,-1.0605,251948,1.0605,143.5694,0.00060433
