psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.44222,-59335,-0.32789,59335,0.32789,31.5399,0.00017429
3,2.5141,-61432,-0.33948,61432,0.33948,31.7991,0.00017572
4,6.9528,-62008,-0.34266,62008,0.34266,31.2222,0.00017254
5,11.1573,-65330,-0.36102,65330,0.36102,31.3278,0.00017312
6,17.7136,-62904,-0.34761,62904,0.34761,30.776,0.00017007
7,23.8403,-62042,-0.34285,62042,0.34285,30.9296,0.00017092
8,28.9911,-63365,-0.35016,63365,0.35016,31.1338,0.00017205
9,31.9823,-63330,-0.34997,63330,0.34997,31.2042,0.00017244
10,2.813,-70714,-0.39077,70714,0.39077,31.9956,0.00017681
11,2.3853,-68540,-0.37876,68540,0.37876,31.5389,0.00017429
12,2.4445,-67817,-0.37476,67817,0.37476,31.4097,0.00017357
13,2.5126,-67635,-0.37376,67635,0.37376,31.4009,0.00017352
14,2.5844,-67656,-0.37387,67656,0.37387,31.4929,0.00017403
15,2.6584,-67646,-0.37382,67646,0.37382,31.5614,0.00017441
16,2.6443,-68189,-0.37682,68189,0.37682,31.6022,0.00017464
17,2.6516,-67940,-0.37544,67940,0.37544,31.6264,0.00017477
18,2.6911,-68002,-0.37578,68002,0.37578,31.6512,0.00017491
19,2.7118,-67746,-0.37437,67746,0.37437,31.7367,0.00017538
20,2.7276,-67912,-0.37529,67912,0.37529,31.8313,0.0001759
21,2.7265,-67876,-0.37509,67876,0.37509,31.9181,0.00017638
22,2.7387,-68147,-0.37659,68147,0.37659,31.9595,0.00017661
23,2.7725,-67682,-0.37402,67682,0.37402,31.9748,0.0001767
24,2.7605,-68144,-0.37657,68144,0.37657,32.0354,0.00017703
25,2.7627,-68243,-0.37712,68243,0.37712,32.0627,0.00017718
26,2.7656,-68277,-0.3773,68277,0.3773,32.0741,0.00017724
27,2.7271,-68685,-0.37956,68685,0.37956,32.1297,0.00017755
28,2.7036,-68636,-0.37929,68636,0.37929,32.1468,0.00017765
29,2.7481,-69092,-0.38181,69092,0.38181,32.1547,0.00017769
30,2.7681,-69100,-0.38185,69100,0.38185,32.1525,0.00017768
