psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.043344,-10501,-0.038116,10501,0.038116,42.0699,0.0001527
3,0.04043,-10440,-0.037895,10440,0.037895,42.0464,0.00015262
4,0.068209,-10204,-0.037038,10204,0.037038,42.0104,0.00015249
5,0.064936,-9834,-0.035695,9834,0.035695,41.9739,0.00015236
6,0.079808,-9935,-0.036062,9935,0.036062,41.9423,0.00015224
7,0.090121,-10324,-0.037474,10324,0.037474,41.9184,0.00015215
8,0.11143,-10606,-0.038497,10606,0.038497,41.8845,0.00015203
9,0.093328,-10703,-0.038849,10703,0.038849,41.8667,0.00015197
10,0.11206,-10840,-0.039347,10840,0.039347,41.8364,0.00015186
11,0.1165,-10986,-0.039877,10986,0.039877,41.8099,0.00015176
12,0.13082,-11218,-0.040719,11218,0.040719,41.7851,0.00015167
13,0.12403,-11381,-0.04131,11381,0.04131,41.7696,0.00015161
14,0.136,-11646,-0.042272,11646,0.042272,41.7458,0.00015153
15,0.14759,-11845,-0.042995,11845,0.042995,41.7218,0.00015144
16,0.16101,-11996,-0.043543,11996,0.043543,41.7004,0.00015136
17,0.1442,-12115,-0.043975,12115,0.043975,41.6844,0.0001513
18,0.161,-12169,-0.044171,12169,0.044171,41.6615,0.00015122
19,0.16965,-12203,-0.044294,12203,0.044294,41.6386,0.00015114
20,0.18089,-12345,-0.044809,12345,0.044809,41.6168,0.00015106
21,0.18309,-12465,-0.045245,12465,0.045245,41.5996,0.000151
22,0.19256,-12587,-0.045688,12587,0.045688,41.5822,0.00015093
23,0.20332,-12691,-0.046065,12691,0.046065,41.5589,0.00015085
24,0.21171,-12829,-0.046566,12829,0.046566,41.5431,0.00015079
25,0.20765,-12968,-0.047071,12968,0.047071,41.5322,0.00015075
26,0.21937,-13013,-0.047234,13013,0.047234,41.5147,0.00015069
27,0.23213,-13126,-0.047644,13126,0.047644,41.4928,0.00015061
28,0.24146,-13129,-0.047655,13129,0.047655,41.4764,0.00015055
29,0.24902,-13185,-0.047858,13185,0.047858,41.4593,0.00015049
30,0.25335,-13172,-0.047811,13172,0.047811,41.4456,0.00015044
